CRID	Latitude	Longitude
1039179	41.72858	-87.643846
1043926	41.736271	-87.625444
1043930	41.782005	-87.625699
1043945	41.74142855	-87.6510627
1043958	41.898823	-87.750172
1043964	41.87152784	-87.70599877
1043975	41.760164	-87.647056
1043981	41.873568	-87.715658
1044016	41.738801	-87.668
1044017	41.751286	-87.605215
1044026	41.888269	-87.722552
1044072	41.779465	-87.664221
1044074	41.84680058	-87.63719087
1044140	41.87378564	-87.74992639
1044141	41.691694	-87.668627
1044143	41.87160344	-87.7278045
1044172	41.75307	-87.576839
1044192	41.90746383	-87.63744904
1044205	41.867488	-87.714421
1044236	41.73647614	-87.54185761
1044287	41.77431599	-87.64459275
1044290	41.879779	-87.768181
1044291	41.89814353	-87.72128663
1044310	41.84786402	-87.72710576
1044315	41.790117	-87.66718
1044341	41.76338157	-87.64921803
1044351	41.723949	-87.604822
1044355	41.762699	-87.642967
1044368	41.80151273	-87.63817178
1044389	41.8866083	-87.76997909
1044475	41.702404	-87.681095
1044490	41.752248	-87.658634
1044497	41.67822115	-87.64913797
1044510	41.78044692	-87.68593081
1044515	41.746839	-87.654852
1044539	41.86629	-87.715421
1044543	41.776949	-87.664152
1044547	41.75253809	-87.641663
1044551	41.893554	-87.756424
1044559	41.750865	-87.629495
1044564	41.70383117	-87.61100951
1044575	41.71469287	-87.60909886
1044605	41.90859558	-87.76076524
1044613	41.761934	-87.643915
1044615	41.814693	-87.622981
1044616	41.909349	-87.652483
1044624	41.907849	-87.72469
1044625	41.742619	-87.651097
1044655	41.887	-87.721362
1044662	41.77194037	-87.60048047
1044664	41.752304	-87.644085
1044667	41.783648	-87.606
1044668	41.765317	-87.649518
1044670	41.750514	-87.652527
1044682	41.749124	-87.605437
1044720	41.784144	-87.610566
1044731	41.88485404	-87.73069414
1044764	41.88225812	-87.74043731
1044773	41.76338157	-87.64921803
1044774	41.77431599	-87.64459275
1044776	41.779651	-87.660835
1044790	41.754471	-87.562955
1044806	41.81585517	-87.669733
1044808	41.83704371	-87.71117923
1044863	41.74115132	-87.67032601
1044865	41.75594	-87.64418
1044882	41.900889	-87.721373
1044883	41.735028	-87.656962
1044885	41.750364	-87.559218
1044886	41.786698	-87.645238
1044891	41.778168	-87.606136
1044898	41.884043	-87.726652
1044906	41.801828	-87.630708
1044914	41.710707	-87.644894
1044916	41.78663501	-87.65953826
1044921	41.77401236	-87.66407321
1044922	41.878406	-87.73708
1044928	41.770231	-87.656974
1044942	41.764607	-87.668147
1044960	41.74875	-87.67087
1044990	41.75782	-87.585447
1044997	41.752021	-87.577488
1045012	41.876656	-87.765845
1045039	41.799094	-87.69368434
1045062	42.01190201	-87.69593929
1045082	41.756431	-87.605695
1045097	41.90845297	-87.77055367
1045112	41.85636	-87.708405
1045163	41.779628	-87.653288
1045171	41.773649	-87.664399
1045180	41.74902879	-87.55011568
1045183	41.768086	-87.614353
1045240	41.777592	-87.703105
1045243	41.773968	-87.597273
1045247	41.903974	-87.626655
1045251	41.999316	-87.671025
1045262	41.89814353	-87.72128663
1045269	41.818451	-87.63281
1045297	41.798389	-87.628606
1045305	41.744759	-87.657475
1045318	41.779651	-87.660835
1045335	41.769939	-87.682842
1045347	41.757443	-87.644484
1045380	41.873699	-87.704716
1045394	41.765108	-87.590969
1045399	41.903792	-87.638445
1045410	41.900053	-87.711884
1045413	41.94577928	-87.77406926
1045428	41.75588353	-87.55461559
1045430	41.754922	-87.646579
1045456	41.806064	-87.657887
1045459	41.874637	-87.746569
1045463	41.780961	-87.666928
1045472	41.792979	-87.782173
1045498	41.868763	-87.71062
1045513	41.777455	-87.669388
1045518	41.70558	-87.54012
1045538	NA	NA
1045539	41.774407	-87.712452
1045586	41.897956	-87.655475
1045599	41.752304	-87.644085
1045608	41.735969	-87.650916
1045609	41.87864661	-87.70306431
1045620	41.761181	-87.654218
1045627	41.990173	-87.658557
1045628	41.754662	-87.604906
1045631	41.854405	-87.725233
1045646	41.767893	-87.64351
1045653	41.758713	-87.659166
1045678	41.87633	-87.729547
1045702	41.756826	-87.599221
1045707	41.768203	-87.664196
1045712	41.835982	-87.645865
1045800	41.966048	-87.728164
1045801	41.740024	-87.562406
1045808	41.859987	-87.734336
1045810	41.758732	-87.564225
1045811	41.888303	-87.738185
1045812	41.871499	-87.725675
1045833	41.885141	-87.702337
1045836	41.82996605	-87.64110243
1045844	41.702774	-87.56202
1045861	41.799439	-87.651569
1045899	41.77734	-87.663188
1045913	41.783112	-87.646351
1045937	41.893095	-87.756959
1045941	41.790513	-87.715737
1045953	41.929376	-87.749724
1045954	41.88485404	-87.73069414
1045955	41.85636	-87.708405
1045997	41.685948	-87.633715
1046014	41.75276722	-87.62467123
1046015	41.80968	-87.593264
1046023	41.764874	-87.637412
1046035	41.774295	-87.644644
1046039	41.79011398	-87.67185932
1046043	41.82833689	-87.69731896
1046066	41.888738	-87.717388
1046089	41.78300274	-87.67169559
1046120	NA	NA
1046124	41.76262402	-87.59010601
1046152	41.741281	-87.648926
1046173	41.736643	-87.605308
1046175	41.703751	-87.625849
1046208	41.84611	-87.702789
1046213	41.99724	-87.820414
1046249	41.799886	-87.697934
1046257	41.746771	-87.64419
1046260	41.777016	-87.747683
1046261	41.839875	-87.701526
1046267	41.894932	-87.711615
1046274	41.87378564	-87.74992639
1046293	41.80151273	-87.63817178
1046294	41.880666	-87.730674
1046295	41.755005	-87.601686
1046301	41.714543	-87.573787
1046320	41.830881	-87.636193
1046327	41.77901233	-87.57797961
1046329	41.746559	-87.653873
1046354	41.873699	-87.704716
1046356	41.769717	-87.584437
1046360	41.780062	-87.614406
1046361	41.907824	-87.734456
1046362	NA	NA
1046375	41.91856	-87.764709
1046377	41.94577928	-87.77406926
1046383	41.707305	-87.62772
1046384	41.869851	-87.624763
1046386	41.738139	-87.646832
1046395	41.873699	-87.704716
1046397	41.824037	-87.632626
1046401	41.854729	-87.723817
1046438	41.68519	-87.633686
1046472	41.718358	-87.649495
1046484	41.796532	-87.604222
1046486	41.745445	-87.558847
1046512	41.758849	-87.622584
1046538	41.986276	-87.786008
1046548	41.868763	-87.71062
1046553	41.873699	-87.704716
1046574	41.866732	-87.701008
1046575	41.98995652	-87.72872948
1046577	41.759753	-87.643505
1046586	41.751701	-87.56867
1046639	41.769203	-87.656931
1046653	41.76671	-87.656939
1046660	41.920028	-87.709008
1046670	41.792252	-87.644247
1046684	41.953183	-87.703346
1046696	41.723949	-87.604822
1046700	42.00178214	-87.66741264
1046711	41.871739	-87.699845
1046723	41.919133	-87.71512
1046726	41.760218	-87.682101
1046737	41.898839	-87.747533
1046765	41.808078	-87.634898
1046785	41.783297	-87.62419
1046795	41.788471	-87.648933
1046801	41.778093	-87.645839
1046813	41.902372	-87.773238
1046835	41.741464	-87.648636
1046845	41.903177	-87.69616
1046846	41.92282	-87.745927
1046899	41.75409358	-87.60568904
1046904	41.752151	-87.643683
1046907	41.765057	-87.654116
1046937	41.858959	-87.716426
1046940	41.891145	-87.760503
1046941	41.6714287	-87.60954144
1046946	41.801334	-87.663559
1046948	41.795819	-87.667672
1046949	41.79762476	-87.65496442
1046950	41.85601854	-87.73222097
1046951	41.74902879	-87.55011568
1046980	41.756306	-87.631023
1046984	41.879779	-87.768181
1046986	41.74162575	-87.63422919
1047006	41.7178	-87.531643
1047023	41.696408	-87.630209
1047032	41.768535	-87.66513
1047044	41.826671	-87.670545
1047073	NA	NA
1047074	41.900868	-87.72381
1047092	41.7693714	-87.61830029
1047098	41.775452	-87.60367
1047100	41.872089	-87.710868
1047128	41.7693714	-87.61830029
1047141	41.93152079	-87.74783325
1047163	41.773713	-87.665547
1047165	41.778989	-87.708784
1047188	41.736331	-87.646175
1047189	41.903773	-87.639506
1047193	41.766833	-87.605623
1047194	41.744268	-87.580719
1047197	42.01190201	-87.69593929
1047220	41.86629	-87.715421
1047233	41.91856	-87.764709
1047236	41.757255	-87.560021
1047237	41.765318	-87.637122
1047249	41.836529	-87.651328
1047253	41.879719	-87.701168
1047264	41.910077	-87.643736
1047283	41.868763	-87.71062
1047300	42.01251	-87.681843
1047304	41.710707	-87.644894
1047316	41.894833	-87.766802
1047340	41.837504	-87.646622
1047353	41.88742436	-87.75042738
1047399	41.750926	-87.625824
1047402	41.90845297	-87.77055367
1047432	41.80466	-87.677023
1047437	41.94577928	-87.77406926
1047440	41.94577928	-87.77406926
1047448	41.794	-87.620084
1047453	41.87144615	-87.73881348
1047459	41.899287	-87.758963
1047473	41.750369	-87.662882
1047505	41.745992	-87.549436
1047508	41.749938	-87.674973
1047511	41.892359	-87.770053
1047513	41.801233	-87.674507
1047530	41.84552485	-87.68263289
1047532	41.751864	-87.665439
1047544	41.76431173	-87.563591
1047548	41.872761	-87.723019
1047549	41.722904	-87.661159
1047565	41.74504	-87.567351
1047568	41.746559	-87.653873
1047569	41.917776	-87.687744
1047578	41.89770165	-87.7507719
1047585	41.852521	-87.646777
1047602	41.766833	-87.605623
1047616	41.74559	-87.658002
1047625	41.712277	-87.611032
1047639	41.737306	-87.66336
1047651	41.769348	-87.614921
1047657	41.903251	-87.643574
1047670	41.896089	-87.723133
1047672	41.710958	-87.645672
1047674	41.780282	-87.613206
1047676	41.68677	-87.64012
1047677	41.74639095	-87.61023945
1047693	41.880201	-87.692523
1047711	41.941957	-87.811928
1047712	41.779465	-87.664221
1047716	41.755481	-87.669819
1047729	41.768819	-87.645726
1047735	41.91271841	-87.79063327
1047737	41.801828	-87.630708
1047739	41.692827	-87.605031
1047745	41.896976	-87.75109
1047755	41.72424275	-87.64167289
1047759	41.734883	-87.631664
1047773	41.787394	-87.645754
1047783	41.773056	-87.610629
1047784	41.78698767	-87.63779307
1047800	41.804643	-87.720068
1047807	41.779383	-87.669079
1047808	41.914433	-87.774879
1047809	41.7077385	-87.64590687
1047815	41.801563	-87.633433
1047824	41.710707	-87.644894
1047849	41.800448	-87.624681
1047851	41.92300479	-87.69248021
1047866	41.752304	-87.644085
1047901	41.964699	-87.708355
1047904	41.830636	-87.623783
1047926	41.749046	-87.673882
1047929	41.752461	-87.581779
1047936	41.751468	-87.588128
1047941	41.770681	-87.65821
1047942	41.77386539	-87.67388971
1047944	41.949024	-87.655594
1047964	41.747144	-87.601429
1047967	41.749416	-87.668269
1047985	41.752304	-87.644085
1048027	41.74115132	-87.67032601
1048034	41.750125	-87.663734
1048038	41.747469	-87.655155
1048064	41.770444	-87.676209
1048077	41.902461	-87.752638
1048079	NA	NA
1048085	41.837504	-87.646622
1048088	41.733307	-87.550328
1048097	41.87152784	-87.70599877
1048101	41.692827	-87.605031
1048102	41.879779	-87.768181
1048110	41.71469287	-87.60909886
1048117	41.932029	-87.707427
1048121	41.89655531	-87.7703173
1048127	41.744759	-87.657475
1048160	41.749753	-87.601119
1048173	41.770815	-87.650837
1048177	NA	NA
1048180	41.783909	-87.606005
1048214	41.83381608	-87.72893896
1048257	41.87378564	-87.74992639
1048281	41.77403335	-87.63340855
1048293	41.704851	-87.627859
1048297	41.785836	-87.673082
1048306	41.777291	-87.635307
1048316	41.884386	-87.750317
1048322	41.802177	-87.610752
1048328	41.746553	-87.656315
1048351	41.747646	-87.64541
1048361	41.73891	-87.732067
1048371	41.691694	-87.668627
1048413	41.711269	-87.645377
1048425	41.759363	-87.593548
1048450	41.881051	-87.726864
1048455	41.779448	-87.635352
1048482	41.883745	-87.773341
1048486	NA	NA
1048495	41.725097	-87.60182
1048502	41.77194037	-87.60048047
1048515	41.780304	-87.611953
1048526	41.883979	-87.726643
1048530	41.808281	-87.694205
1048554	42.014239	-87.679048
1048556	41.744235	-87.558454
1048585	41.796949	-87.72379
1048591	41.707066	-87.631302
1048592	41.76968445	-87.58373152
1048608	41.808192	-87.684742
1048626	41.755658	-87.644417
1048627	41.76306238	-87.67122688
1048651	41.778129	-87.631797
1048690	41.700697	-87.528175
1048695	41.78663501	-87.65953826
1048696	41.779655	-87.659455
1048721	41.83634	-87.651907
1048743	41.882147	-87.735481
1048749	41.874922	-87.749216
1048770	41.87382201	-87.76950132
1048809	41.74639095	-87.61023945
1048834	41.745463	-87.605343
1048845	41.69204	-87.642718
1048850	41.794203	-87.667186
1048851	NA	NA
1048854	41.761905	-87.609554
1048882	41.70383117	-87.61100951
1048888	41.884386	-87.750317
1048895	41.768725	-87.66419
1048904	41.772909	-87.671568
1048915	41.968452	-87.708472
1048917	41.78285867	-87.60901141
1048919	41.728264	-87.549823
1048921	41.743007	-87.668107
1048924	41.779651	-87.660835
1048936	41.751302	-87.603896
1048941	41.79762476	-87.65496442
1048958	41.85602	-87.682031
1048979	41.691879	-87.663504
1048982	41.859018	-87.711027
1048996	41.750339	-87.664651
1049004	41.75588353	-87.55461559
1049033	41.881937	-87.725707
1049055	41.75463	-87.609203
1049058	41.873965	-87.681345
1049077	41.810088	-87.747768
1049096	41.772859	-87.636151
1049111	41.768203	-87.664196
1049146	41.76361378	-87.63004905
1049152	41.945237	-87.747039
1049154	41.879779	-87.768181
1049187	41.7502	-87.67558
1049192	41.78043	-87.615274
1049200	41.878757	-87.732959
1049206	41.747188	-87.661167
1049208	41.736456	-87.6626
1049209	41.900824	-87.754155
1049215	NA	NA
1049218	42.00178214	-87.66741264
1049229	41.837504	-87.646622
1049250	41.757634	-87.642073
1049265	41.7104	-87.645659
1049275	41.790067	-87.674466
1049280	41.691694	-87.668627
1049286	41.893896	-87.706125
1049316	41.766833	-87.605623
1049362	41.778989	-87.708784
1049363	41.830083	-87.665901
1049368	41.717435	-87.64349
1049389	41.755658	-87.644417
1049392	41.75253809	-87.641663
1049402	41.753007	-87.614018
1049415	41.74639095	-87.61023945
1049416	41.855065	-87.6591
1049421	41.751458	-87.649137
1049430	41.7993	-87.673569
1049434	41.752304	-87.644085
1049454	41.792587	-87.703529
1049456	41.736665	-87.623958
1049474	41.692652	-87.618262
1049477	41.742906	-87.663436
1049496	41.886207	-87.759899
1049519	41.767099	-87.62063
1049525	41.733291	-87.621386
1049528	41.751084	-87.665415
1049533	41.758237	-87.624759
1049552	41.732981	-87.620456
1049567	41.91856	-87.764709
1049587	41.7843	-87.61089
1049597	41.757443	-87.644484
1049619	41.78698767	-87.63779307
1049622	41.773151	-87.604484
1049623	41.893	-87.755528
1049637	41.764909	-87.663796
1049639	41.89640151	-87.71147215
1049680	41.876346	-87.75244
1049694	41.873699	-87.704716
1049701	41.879814	-87.765052
1049704	41.752304	-87.644085
1049738	41.763175	-87.680482
1049739	41.747262	-87.605378
1049760	41.882535	-87.66194
1049763	41.909591	-87.773327
1049779	41.766833	-87.605623
1049816	41.91856	-87.764709
1049819	41.999316	-87.671025
1049831	41.788507	-87.651318
1049872	41.758611	-87.602694
1049887	41.871946	-87.696048
1049896	41.881053	-87.726635
1049905	41.75905	-87.561591
1049915	41.76968445	-87.58373152
1049944	41.801078	-87.665049
1049977	41.752744	-87.554057
1049995	41.752035	-87.565969
1050033	41.72919521	-87.65408251
1050037	41.91609	-87.750722
1050048	NA	NA
1050057	41.75603	-87.649033
1050106	41.711455	-87.534907
1050107	41.740355	-87.601291
1050109	41.90845297	-87.77055367
1050113	41.692827	-87.605031
1050151	41.8785742	-87.69129646
1050152	41.92085382	-87.72422228
1050168	41.90964801	-87.74603586
1050173	41.969939	-87.655234
1050176	41.73444388	-87.55868965
1050179	41.73444388	-87.55868965
1050192	41.87321	-87.759185
1050193	41.873572	-87.757925
1050195	41.692827	-87.605031
1050198	41.88225812	-87.74043731
1050209	41.7755	-87.670431
1050222	41.7693714	-87.61830029
1050225	41.767706	-87.653742
1050235	41.741397	-87.61086
1050257	41.764014	-87.581695
1050260	41.707788	-87.567181
1050283	41.69209	-87.621042
1050292	41.91856	-87.764709
1050293	41.745323	-87.571259
1050294	41.906374	-87.648565
1050308	41.653553	-87.547525
1050321	41.688935	-87.660114
1050324	41.896883	-87.692914
1050330	41.892373	-87.764706
1050333	41.815803	-87.6332
1050337	41.681887	-87.62027
1050338	41.801566	-87.655207
1050351	41.888738	-87.717388
1050365	41.730334	-87.575113
1050377	41.875934	-87.757563
1050382	41.801828	-87.630708
1050385	41.747766	-87.652453
1050398	41.96175146	-87.68758483
1050400	41.769253	-87.610304
1050409	41.895787	-87.708992
1050454	41.999316	-87.671025
1050482	41.980496	-87.805499
1050504	41.74322013	-87.72285585
1050510	41.863225	-87.669377
1050511	41.878414	-87.660556
1050513	41.90119	-87.755312
1050522	41.77403335	-87.63340855
1050565	41.739694	-87.643805
1050568	41.747579	-87.549986
1050581	41.755552	-87.663853
1050583	41.83039	-87.67528
1050592	41.882456	-87.760239
1050607	41.86339608	-87.72757055
1050622	41.78698767	-87.63779307
1050647	41.684782	-87.640982
1050653	41.69698039	-87.70830784
1050679	41.910727	-87.718038
1050682	41.799747	-87.734099
1050684	41.72536	-87.561165
1050685	41.860115	-87.70549
1050704	41.873699	-87.704716
1050718	41.75276722	-87.62467123
1050739	41.893403	-87.636224
1050753	41.702438	-87.619883
1050758	41.804901	-87.672981
1050760	41.82259	-87.70444
1050767	41.7775071	-87.61707643
1050769	41.768439	-87.644653
1050770	41.756067	-87.646608
1050792	41.751286	-87.605215
1050810	41.718874	-87.570997
1050823	41.859012	-87.715957
1050841	41.748652	-87.644236
1050849	41.73846932	-87.61229306
1050897	41.87950437	-87.73053756
1050903	41.737529	-87.643652
1050914	41.776099	-87.603399
1050917	41.870764	-87.749066
1050936	41.778508	-87.665736
1050944	41.765071	-87.652897
1050949	41.777859	-87.6706
1050980	41.75253809	-87.641663
1050988	41.721689	-87.629352
1050994	41.780979	-87.669387
1050997	41.805928	-87.60337
1051023	41.752304	-87.644085
1051026	41.765071	-87.652897
1051027	41.76262402	-87.59010601
1051028	NA	NA
1051030	41.842563	-87.635552
1051038	41.85636	-87.708405
1051044	41.743097	-87.645335
1051045	41.970329	-87.76756
1051050	41.866709	-87.702215
1051052	41.758999	-87.634047
